﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
spotify:track:2hjGuRIEfEGzQ5MEWLowiU,Cannonball,The Breeders,Last Splash,1,2,213693,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T09:29:39Z
spotify:track:55MEbqyxZphjB0beZ7YT0f,Birthday,The Sugarcubes,Life's Too Good,1,3,239533,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T09:29:48Z
spotify:track:2OaXmeYBJ0hcTmS3kxjJOx,See No Evil,Television,Marquee Moon,1,1,232960,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T09:29:55Z
spotify:track:7yThIhNzpgDBIGoL2y1y6u,Start Choppin',Dinosaur Jr.,Where You Been,1,2,340186,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T09:30:59Z
spotify:track:0u5aO1GYsIhAWCPuXdwnak,Today - Remastered,The Smashing Pumpkins,Siamese Dream (Deluxe Edition),1,3,201173,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T11:27:25Z
spotify:track:1KF6zPwO5b8pVmCr8HeAfP,Disappearer,Sonic Youth,Goo,1,7,308000,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T10:33:01Z
spotify:track:1cP2cRcXKMJNGk6En2tGoV,Something for Us All,Charlie Hilton,Palana,1,2,231026,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T11:24:05Z
spotify:track:4Iyo50UoYhuuYORMLrGDci,Weird Fishes/ Arpeggi,Radiohead,In Rainbows,1,4,318186,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T11:24:26Z
spotify:track:2Aqc48sn8He26hmTvQ2BMj,Hey,Pixies,Doolittle,1,13,211440,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T11:26:09Z
spotify:track:6btgmQWLgr7fJDdBcNxqiB,Here She Comes,Slowdive,Souvlaki,1,5,141200,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T11:26:31Z
spotify:track:4hNVjaMGvKgAK41O9tQoNn,Rebel Girl,Bikini Kill,Pussy Whipped,1,10,163133,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T11:26:42Z
spotify:track:74YaQvyWvMPp1E68rYgBYq,Sleepin' Around,Sonic Youth,Rather Ripped,1,4,222706,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-16T16:06:25Z
spotify:track:5yWb2JejRqElK4e1xJoEaZ,Reena,Sonic Youth,Rather Ripped,1,1,227293,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-17T08:46:31Z
spotify:track:2hxH4j6Pg8WddXkPmbKMyl,Sing,Slowdive,Souvlaki,1,4,291240,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-17T08:58:26Z
spotify:track:7iOFOoQbTVmeOR2k23yn6D,Turquoise Boy,Sonic Youth,Rather Ripped,1,8,373480,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-18T21:39:14Z
spotify:track:0NoHnc3278ZbMbfo1owqpZ,Pet Grief,The Radio Dept.,Pet Grief,1,2,190386,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-20T23:47:54Z
spotify:track:7K23xmfZe9PcOSVe8n0ErD,Every Time,The Radio Dept.,Pet Grief,1,7,224266,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-21T00:02:41Z
spotify:track:48OErdCY5Tf2Yxhjtf8jWa,The Worst Taste in Music,The Radio Dept.,Pet Grief,1,6,201386,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-22T01:50:32Z
spotify:track:3NhqywYZgJVF78KQgduqYG,Hits Of Sunshine (For Allen Ginsberg),Sonic Youth,A Thousand Leaves,1,7,665226,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-23T06:15:21Z
spotify:track:7jg6EPVQ8fXkiyupWEg24Q,Birthday,The Jesus and Mary Chain,Munki,1,2,237226,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-23T16:03:40Z
spotify:track:5pvmhSKAEGovYtUQW8xqJp,Stare at the Sun,Ringo Deathstarr,Pure Mood,1,3,259957,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-25T01:34:18Z
spotify:track:0KngYoYGkKfWbOVfKpIfyc,Cranekiss,Tamaryn,Cranekiss,1,1,230408,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-25T02:43:05Z
spotify:track:5POktILPfeDIaINBbRvw97,Defective,Medicine,Shot Forth Self Living,1,3,249866,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-25T07:27:47Z
spotify:track:58AWfmYbSeMywgJtXkey7Q,Vapour Trail - 2001 Remaster,Ride,Nowhere (Expanded),1,8,257666,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-26T03:03:27Z
spotify:track:04pdroSBYn8G41Z6RlweJb,Disconnection Notice,Sonic Youth,Murray St.,1,2,384439,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-26T03:03:46Z
spotify:track:3PG7BAJG9WkmNOJOlc4uAo,Femme Fatale,"The Velvet Underground, Nico",The Velvet Underground & Nico 45th Anniversary,1,3,159000,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-26T03:03:56Z
spotify:track:7aLk9C2flDpaoV8K8Vn0ML,Heavy Metal Suicide,Ringo Deathstarr,Pure Mood,1,2,220010,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-26T03:04:06Z
spotify:track:1ZU8m0ERvpfnuKZeceUPLp,Guilt,Ringo Deathstarr,Pure Mood,1,6,180480,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-26T03:04:10Z
