﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3tA12hlBltPtw6ArshsopB","The Relays (feat. Travis Scott)","Maxo Kream, Travis Scott","Brandon Banks","1","4","177060","spotify:user:jmlern16","2019-08-15T19:09:17Z"
"spotify:track:5ry2OE6R2zPQFDO85XkgRb","Money In The Grave (Drake ft. Rick Ross)","Drake, Rick Ross","The Best In The World Pack","1","2","205426","spotify:user:jmlern16","2019-08-15T19:09:28Z"
"spotify:track:5pAbCxt9e3f81lOmjIXwzd","Be Honest (feat. Burna Boy)","Jorja Smith, Burna Boy","Be Honest (feat. Burna Boy)","1","1","207030","spotify:user:jmlern16","2019-08-17T21:45:40Z"
"spotify:track:4tMZoPR9v4kvICAPyknxpa","Meet Again","Maxo Kream","Brandon Banks","1","1","320200","spotify:user:jmlern16","2019-08-18T15:52:08Z"
"spotify:track:7L5P30Eg8eta8Q9em2VteI","South","Galimatias","South","1","1","215526","spotify:user:jmlern16","2019-08-18T15:53:19Z"
"spotify:track:6ozeZmqTJIyMEhcv9B2jm3","Jesus Forgive Me, I Am A Thot","JPEGMAFIA","Jesus Forgive Me, I Am A Thot","1","1","156533","spotify:user:jmlern16","2019-08-20T23:44:48Z"
"spotify:track:5V5MUoJUc1NINhZrmk063n","Been Around","YBN Cordae","The Lost Boy","1","11","203702","spotify:user:jmlern16","2019-08-20T23:47:18Z"
"spotify:track:3d65swPOxko76ZQL5WEQfH","Screwed Up","Cousin Stizz","Monda","1","13","234106","spotify:user:jmlern16","2019-08-20T23:48:50Z"
"spotify:track:0ssVSd3juASNuehS9LWMFW","Black Tux, White Collar","A$AP Rocky","TESTING","1","14","162986","spotify:user:jmlern16","2019-08-20T23:49:01Z"
"spotify:track:4sLVtAcQka1EIjeqgzRu3c","Foreign Hoes","SwuM","Foreign Hoes","1","1","219166","spotify:user:jmlern16","2019-08-20T23:49:20Z"
"spotify:track:4cSIwCwHBx80sXjBeb9Uw1","Feel It Still - Flatbush Zombies Remix","Portugal. The Man, Flatbush Zombies","Feel It Still (Flatbush Zombies Remix)","1","1","206582","spotify:user:jmlern16","2019-08-20T23:49:27Z"
"spotify:track:2WlOO5UM3eoEQt7Z2z3PU1","Might Be","Anderson .Paak","Venice","1","4","237165","spotify:user:jmlern16","2019-08-20T23:50:02Z"
"spotify:track:2q35pHabpVH0UPBfDXskvP","Rolling Papers","Domo Genesis, Tyler, The Creator","12 Odd Future Songs","1","6","172840","spotify:user:jmlern16","2019-08-22T16:45:54Z"
"spotify:track:00ko9WaS4jOX1kEk3gvHjf","Hot Shower","Chance the Rapper, MadeinTYO, DaBaby","The Big Day","1","4","225923","spotify:user:jmlern16","2019-08-27T18:49:05Z"
"spotify:track:7LjRPqtlYb2qyqUmKOwKuz","Nirvana (with Falcons & B. Lewis)","Bas, Falcons, B. Lewis","Spilled Milk 1","1","3","165953","spotify:user:jmlern16","2019-08-27T20:01:35Z"
"spotify:track:7d19457woBxmPRCq255YqM","The Race - Remix","Tay-K, 21 Savage, Young Nudy","#SantanaWorld (+)","1","9","211875","spotify:user:jmlern16","2019-08-28T13:45:30Z"
"spotify:track:5WnfnSpuNEGXyEt78PBA6d","Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)","Dreamville, Bas, JID, Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy, Ski Mask The Slump God","Revenge Of The Dreamers III","1","11","217866","spotify:user:jmlern16","2019-08-28T13:48:26Z"
"spotify:track:67cpn8ZBO7QU67jky8Fh47","How You Feel? (Freestyle) (feat. Lil Yachty, Danny Towers & Ski Mask The Slump God)","DJ Scheme, Lil Yachty, Danny Towers, Ski Mask The Slump God","Preseason EP","1","2","135022","spotify:user:jmlern16","2019-08-28T13:54:42Z"
"spotify:track:643PW82aBMUa1FiWi5VQY7","Babushka Boi","A$AP Rocky","Babushka Boi","1","1","187105","spotify:user:jmlern16","2019-08-28T14:30:11Z"
"spotify:track:0EgmhYPgButfoBvtnidyR0","Song 32","Noname","Song 32","1","1","162496","spotify:user:jmlern16","2019-09-06T13:38:42Z"
"spotify:track:4sFzG7iUlyPmuyASCkre9A","Hair Down (feat. Kendrick Lamar)","SiR, Kendrick Lamar","Chasing Summer","1","1","216933","spotify:user:jmlern16","2019-09-06T16:43:15Z"
"spotify:track:5ibTi2YwtvbB1bTOv2I93d","John Redcorn","SiR","Chasing Summer","1","2","187893","spotify:user:jmlern16","2019-09-06T16:43:17Z"
"spotify:track:7mYvtEeBdMqRSyj1Qpv6my","Hot Boyz","Missy Elliott","Da Real World","1","6","215466","spotify:user:jmlern16","2019-09-11T16:51:56Z"
"spotify:track:60BVxPevV4Jr3Dj4M7Md0z","Good Lovin","Ludacris, Miguel","Ludaversal","1","10","223440","spotify:user:jmlern16","2019-09-13T04:39:42Z"
"spotify:track:4ESGX4m3mDBO5HHXGjNReE","Can't Waste Time","YGTUT","I.O.U.","1","7","216375","spotify:user:jmlern16","2019-09-17T15:02:48Z"
"spotify:track:4LGg2NY9eHp0jF3L1WbCNl","Wildin'","Berhana","Wildin'","1","1","139613","spotify:user:jmlern16","2019-09-18T15:32:10Z"
"spotify:track:3qc67Hflqzvw3hShw2phgG","Throw It Back","Missy Elliott","ICONOLOGY","1","1","192813","spotify:user:jmlern16","2019-09-19T17:16:26Z"
